Gene stable ID	Chromosome/scaffold name	Gene name	Gene type	Gene start (bp)	Gene end (bp)
ENSG00000210049	MT	MT-TF	Mt_tRNA	577	647
ENSG00000211459	MT	MT-RNR1	Mt_rRNA	648	1601
ENSG00000210077	MT	MT-TV	Mt_tRNA	1602	1670
ENSG00000210082	MT	MT-RNR2	Mt_rRNA	1671	3229
ENSG00000209082	MT	MT-TL1	Mt_tRNA	3230	3304
ENSG00000198888	MT	MT-ND1	protein_coding	3307	4262
ENSG00000210100	MT	MT-TI	Mt_tRNA	4263	4331
ENSG00000210107	MT	MT-TQ	Mt_tRNA	4329	4400
ENSG00000210112	MT	MT-TM	Mt_tRNA	4402	4469
ENSG00000198763	MT	MT-ND2	protein_coding	4470	5511
ENSG00000210117	MT	MT-TW	Mt_tRNA	5512	5579
ENSG00000210127	MT	MT-TA	Mt_tRNA	5587	5655
ENSG00000210135	MT	MT-TN	Mt_tRNA	5657	5729
ENSG00000210140	MT	MT-TC	Mt_tRNA	5761	5826
ENSG00000210144	MT	MT-TY	Mt_tRNA	5826	5891
ENSG00000198804	MT	MT-CO1	protein_coding	5904	7445
ENSG00000210151	MT	MT-TS1	Mt_tRNA	7446	7514
ENSG00000210154	MT	MT-TD	Mt_tRNA	7518	7585
ENSG00000198712	MT	MT-CO2	protein_coding	7586	8269
ENSG00000210156	MT	MT-TK	Mt_tRNA	8295	8364
ENSG00000228253	MT	MT-ATP8	protein_coding	8366	8572
ENSG00000198899	MT	MT-ATP6	protein_coding	8527	9207
ENSG00000198938	MT	MT-CO3	protein_coding	9207	9990
ENSG00000210164	MT	MT-TG	Mt_tRNA	9991	10058
ENSG00000198840	MT	MT-ND3	protein_coding	10059	10404
ENSG00000210174	MT	MT-TR	Mt_tRNA	10405	10469
ENSG00000212907	MT	MT-ND4L	protein_coding	10470	10766
ENSG00000198886	MT	MT-ND4	protein_coding	10760	12137
ENSG00000210176	MT	MT-TH	Mt_tRNA	12138	12206
ENSG00000210184	MT	MT-TS2	Mt_tRNA	12207	12265
ENSG00000210191	MT	MT-TL2	Mt_tRNA	12266	12336
ENSG00000198786	MT	MT-ND5	protein_coding	12337	14148
ENSG00000198695	MT	MT-ND6	protein_coding	14149	14673
ENSG00000210194	MT	MT-TE	Mt_tRNA	14674	14742
ENSG00000198727	MT	MT-CYB	protein_coding	14747	15887
ENSG00000210195	MT	MT-TT	Mt_tRNA	15888	15953
ENSG00000210196	MT	MT-TP	Mt_tRNA	15956	16023
ENSG00000262477	18	AC021224.1	lincRNA	32412182	32413236
ENSG00000212378	2	RF00592	snoRNA	72760534	72760602
ENSG00000277234	1	RNU1-5P	snRNA	16873708	16873851
ENSG00000243313	6	RN7SL285P	misc_RNA	37832922	37833185
ENSG00000251915	16	RNA5SP406	rRNA_pseudogene	35734393	35734504
ENSG00000276988	7	RF00017	misc_RNA	128483907	128484158
ENSG00000199530	4	RF00019	misc_RNA	82944738	82944845
ENSG00000207196	11	RF00019	misc_RNA	70705167	70705269
ENSG00000239102	9	RNU7-185P	snRNA	8797135	8797194
ENSG00000243959	5	RN7SL684P	misc_RNA	176547433	176547726
ENSG00000201356	X	RNA5SP500	rRNA_pseudogene	28982852	28982970
ENSG00000239149	1	SNORA59A	snoRNA	12507246	12507397
ENSG00000252647	16	RNA5SP416	rRNA_pseudogene	35751574	35751684
ENSG00000200688	12	RF00019	misc_RNA	112069104	112069209
ENSG00000212512	1	RF00019	misc_RNA	202070841	202070943
ENSG00000222872	3	RNU4-78P	snRNA	42221840	42221965
ENSG00000206698	5	RNU1-73P	snRNA	97175950	97176113
ENSG00000271924	2	RNA5SP108	rRNA_pseudogene	161409554	161409670
ENSG00000222613	4	RF00019	misc_RNA	140779039	140779141
ENSG00000252704	7	RN7SKP277	misc_RNA	121736443	121736725
ENSG00000278189	21	RNA5-8SN1	rRNA	8439823	8439975
ENSG00000202377	7	SNORA25B	snoRNA	115581315	115581442
ENSG00000212448	12	RF00019	misc_RNA	95617689	95617786
ENSG00000265684	5	RN7SL378P	misc_RNA	82078427	82078724
ENSG00000212452	3	SNORD69	snoRNA	52692736	52692812
ENSG00000222614	19	RF00019	misc_RNA	46736312	46736419
ENSG00000265078	3	RN7SL664P	misc_RNA	48094801	48095105
ENSG00000252126	7	RNU6-313P	snRNA	66344303	66344414
ENSG00000252827	12	RN7SKP11	misc_RNA	96427200	96427486
ENSG00000280502	11	RF00017	misc_RNA	118994334	118994630
